,State,County,Value,Gender,Race/Ethnicity,LatLng
30879,NC,Jackson County,246.2,Female,White,"(35.281353, -83.138946)"
30880,NC,Johnston County,312.7,Female,White,"(35.514295, -78.365444)"
30881,NC,Jones County,266.1,Female,White,"(35.019843, -77.357622)"
30882,NC,Lee County,265.4,Female,White,"(35.470107, -79.175428)"
30883,NC,Lenoir County,251.9,Female,White,"(35.233094, -77.646009)"
30884,NC,Lincoln County,307.2,Female,White,"(35.481319, -81.218686)"
30885,NC,McDowell County,231.9,Female,White,"(35.678999, -82.043279)"
30886,NC,Macon County,262.3,Female,White,"(35.145543, -83.421893)"
30887,NC,Madison County,290.1,Female,White,"(35.852962, -82.704937)"
30888,NC,Martin County,290.8,Female,White,"(35.836197, -77.108474)"
30889,NC,Mecklenburg County,171.9,Female,White,"(35.245446, -80.829707)"
30890,NC,Mitchell County,261.0,Female,White,"(36.006122, -82.159625)"
30891,NC,Montgomery County,229.4,Female,White,"(35.328468, -79.900629)"
30892,NC,Moore County,189.1,Female,White,"(35.306734, -79.476806)"
30893,NC,Nash County,248.7,Female,White,"(35.96325, -77.981695)"
30894,NC,New Hanover County,240.9,Female,White,"(34.263581, -77.895358)"
30895,NC,Northampton County,240.0,Female,White,"(36.422168, -77.412187)"
30896,NC,Onslow County,263.7,Female,White,"(34.740369, -77.442474)"
30897,NC,Orange County,184.7,Female,White,"(36.056708, -79.12264)"
30898,NC,Pamlico County,252.0,Female,White,"(35.135279, -76.767432)"
30899,NC,Pasquotank County,371.8,Female,White,"(36.309091, -76.314281)"
30900,NC,Pender County,241.0,Female,White,"(34.528344, -77.915837)"
30901,NC,Perquimans County,340.7,Female,White,"(36.206156, -76.454965)"
30902,NC,Person County,221.3,Female,White,"(36.389343, -78.975872)"
30903,NC,Pitt County,222.8,Female,White,"(35.590505, -77.379123)"
30904,NC,Polk County,222.2,Female,White,"(35.275619, -82.170022)"
30905,NC,Randolph County,286.2,Female,White,"(35.706575, -79.802905)"
30906,NC,Richmond County,342.5,Female,White,"(35.00261, -79.740578)"
30907,NC,Robeson County,360.7,Female,White,"(34.638746, -79.09942)"
30908,NC,Rockingham County,311.6,Female,White,"(36.396136, -79.769302)"
30909,NC,Rowan County,292.7,Female,White,"(35.635879, -80.518235)"
30910,NC,Rutherford County,299.4,Female,White,"(35.399442, -81.917292)"
30911,NC,Sampson County,275.6,Female,White,"(34.986249, -78.371475)"
30912,NC,Scotland County,239.3,Female,White,"(34.834413, -79.477433)"
30913,NC,Stanly County,354.4,Female,White,"(35.312563, -80.248868)"
30914,NC,Stokes County,246.9,Female,White,"(36.400112, -80.234031)"
30915,NC,Surry County,260.6,Female,White,"(36.413116, -80.68616)"
30916,NC,Swain County,293.2,Female,White,"(35.479654, -83.494771)"
30917,NC,Transylvania County,199.8,Female,White,"(35.202363, -82.792783)"
30918,NC,Tyrrell County,264.2,Female,White,"(35.810572, -76.218478)"
30919,NC,Union County,286.1,Female,White,"(34.986861, -80.531078)"
30920,NC,Vance County,240.3,Female,White,"(36.363702, -78.410435)"
30921,NC,Wake County,186.7,Female,White,"(35.78375, -78.652872)"
30922,NC,Warren County,255.0,Female,White,"(36.396823, -78.111442)"
30923,NC,Washington County,299.2,Female,White,"(35.826274, -76.582676)"
30924,NC,Watauga County,242.2,Female,White,"(36.224488, -81.690604)"
30925,NC,Wayne County,263.0,Female,White,"(35.354641, -78.008452)"
30926,NC,Wilkes County,232.9,Female,White,"(36.201538, -81.16133)"
30927,NC,Wilson County,249.1,Female,White,"(35.69877, -77.920576)"
30928,NC,Yadkin County,239.5,Female,White,"(36.155268, -80.663555)"
30929,NC,Yancey County,227.9,Female,White,"(35.894626, -82.30996)"
30930,NC,Alamance County,335.8,Overall,Black,"(36.037343, -79.398844)"
30931,NC,Alexander County,401.4,Overall,Black,"(35.916776, -81.172017)"
30932,NC,Alleghany County,377.7,Overall,Black,"(36.491055, -81.126195)"
30933,NC,Anson County,494.3,Overall,Black,"(34.976201, -80.104771)"
30934,NC,Ashe County,385.0,Overall,Black,"(36.433254, -81.498915)"
30935,NC,Avery County,359.3,Overall,Black,"(36.074592, -81.919816)"
30936,NC,Beaufort County,390.8,Overall,Black,"(35.49419, -76.869659)"
30937,NC,Bertie County,368.9,Overall,Black,"(36.065336, -76.983187)"
30938,NC,Bladen County,543.0,Overall,Black,"(34.608631, -78.557235)"
30939,NC,Brunswick County,322.5,Overall,Black,"(34.074922, -78.252254)"
30940,NC,Buncombe County,455.5,Overall,Black,"(35.607613, -82.526366)"
30941,NC,Burke County,392.2,Overall,Black,"(35.746243, -81.700515)"
30942,NC,Cabarrus County,361.1,Overall,Black,"(35.3855, -80.548633)"
30943,NC,Caldwell County,362.7,Overall,Black,"(35.947022, -81.543177)"
30944,NC,Camden County,485.6,Overall,Black,"(36.402378, -76.238141)"
30945,NC,Carteret County,358.7,Overall,Black,"(34.818929, -76.697202)"
30946,NC,Caswell County,360.6,Overall,Black,"(36.394099, -79.333188)"
30947,NC,Catawba County,402.4,Overall,Black,"(35.658972, -81.213566)"
30948,NC,Chatham County,308.2,Overall,Black,"(35.697142, -79.254182)"
30949,NC,Cherokee County,530.4,Overall,Black,"(35.132993, -84.057879)"
30950,NC,Chowan County,333.4,Overall,Black,"(36.147151, -76.615859)"
30952,NC,Cleveland County,475.0,Overall,Black,"(35.333441, -81.54967)"
30953,NC,Columbus County,649.1,Overall,Black,"(34.263849, -78.65428)"
30954,NC,Craven County,386.0,Overall,Black,"(35.131322, -77.103878)"
30955,NC,Cumberland County,398.6,Overall,Black,"(35.044653, -78.8294)"
30956,NC,Currituck County,375.5,Overall,Black,"(36.407817, -76.027453)"
30957,NC,Dare County,428.5,Overall,Black,"(35.734032, -75.80804)"
30958,NC,Davidson County,345.4,Overall,Black,"(35.789628, -80.20883)"
30959,NC,Davie County,368.1,Overall,Black,"(35.925235, -80.542652)"
30960,NC,Duplin County,352.3,Overall,Black,"(34.933085, -77.93468)"
30961,NC,Durham County,309.1,Overall,Black,"(36.029183, -78.87741)"
30962,NC,Edgecombe County,359.3,Overall,Black,"(35.909732, -77.599602)"
30963,NC,Forsyth County,344.6,Overall,Black,"(36.126047, -80.249477)"
30964,NC,Franklin County,348.9,Overall,Black,"(36.075748, -78.283888)"
30965,NC,Gaston County,371.3,Overall,Black,"(35.292548, -81.177848)"
30966,NC,Gates County,317.7,Overall,Black,"(36.444258, -76.702017)"
30967,NC,Graham County,388.3,Overall,Black,"(35.346295, -83.830739)"
30968,NC,Granville County,356.8,Overall,Black,"(36.300753, -78.655485)"
30969,NC,Greene County,353.6,Overall,Black,"(35.483833, -77.678332)"
30970,NC,Guilford County,344.5,Overall,Black,"(36.072845, -79.781989)"
30971,NC,Halifax County,367.6,Overall,Black,"(36.252918, -77.65503)"
30972,NC,Harnett County,374.1,Overall,Black,"(35.368234, -78.868802)"
30973,NC,Haywood County,423.8,Overall,Black,"(35.55207, -82.982474)"
30974,NC,Henderson County,402.1,Overall,Black,"(35.336615, -82.475972)"
30975,NC,Hertford County,330.5,Overall,Black,"(36.364446, -76.997006)"
30976,NC,Hoke County,401.8,Overall,Black,"(35.011746, -79.236099)"
30977,NC,Hyde County,407.0,Overall,Black,"(35.532337, -76.247823)"
30978,NC,Iredell County,372.5,Overall,Black,"(35.80236, -80.87071)"
30979,NC,Jackson County,378.8,Overall,Black,"(35.281353, -83.138946)"
30980,NC,Johnston County,316.8,Overall,Black,"(35.514295, -78.365444)"
30981,NC,Jones County,382.2,Overall,Black,"(35.019843, -77.357622)"
30982,NC,Lee County,369.4,Overall,Black,"(35.470107, -79.175428)"
30983,NC,Lenoir County,373.6,Overall,Black,"(35.233094, -77.646009)"
30984,NC,Lincoln County,383.3,Overall,Black,"(35.481319, -81.218686)"
30985,NC,McDowell County,452.2,Overall,Black,"(35.678999, -82.043279)"
30986,NC,Macon County,467.5,Overall,Black,"(35.145543, -83.421893)"
30987,NC,Madison County,444.9,Overall,Black,"(35.852962, -82.704937)"
30988,NC,Martin County,367.2,Overall,Black,"(35.836197, -77.108474)"
30989,NC,Mecklenburg County,332.3,Overall,Black,"(35.245446, -80.829707)"
30990,NC,Mitchell County,489.1,Overall,Black,"(36.006122, -82.159625)"
30991,NC,Montgomery County,402.8,Overall,Black,"(35.328468, -79.900629)"
30992,NC,Moore County,388.2,Overall,Black,"(35.306734, -79.476806)"
30993,NC,Nash County,354.6,Overall,Black,"(35.96325, -77.981695)"
30994,NC,New Hanover County,404.0,Overall,Black,"(34.263581, -77.895358)"
30995,NC,Northampton County,351.8,Overall,Black,"(36.422168, -77.412187)"
30996,NC,Onslow County,339.0,Overall,Black,"(34.740369, -77.442474)"
30997,NC,Orange County,323.8,Overall,Black,"(36.056708, -79.12264)"
30998,NC,Pamlico County,424.5,Overall,Black,"(35.135279, -76.767432)"
30999,NC,Pasquotank County,507.9,Overall,Black,"(36.309091, -76.314281)"
31000,NC,Pender County,331.3,Overall,Black,"(34.528344, -77.915837)"
31001,NC,Perquimans County,447.6,Overall,Black,"(36.206156, -76.454965)"
31002,NC,Person County,340.5,Overall,Black,"(36.389343, -78.975872)"
31003,NC,Pitt County,366.5,Overall,Black,"(35.590505, -77.379123)"
31004,NC,Polk County,403.0,Overall,Black,"(35.275619, -82.170022)"
31005,NC,Randolph County,334.2,Overall,Black,"(35.706575, -79.802905)"
31006,NC,Richmond County,458.4,Overall,Black,"(35.00261, -79.740578)"
31007,NC,Robeson County,406.7,Overall,Black,"(34.638746, -79.09942)"
31008,NC,Rockingham County,344.5,Overall,Black,"(36.396136, -79.769302)"
31009,NC,Rowan County,382.8,Overall,Black,"(35.635879, -80.518235)"
31010,NC,Rutherford County,455.5,Overall,Black,"(35.399442, -81.917292)"
31011,NC,Sampson County,353.6,Overall,Black,"(34.986249, -78.371475)"
31012,NC,Scotland County,446.7,Overall,Black,"(34.834413, -79.477433)"
31013,NC,Stanly County,407.5,Overall,Black,"(35.312563, -80.248868)"
31014,NC,Stokes County,343.6,Overall,Black,"(36.400112, -80.234031)"
31015,NC,Surry County,368.5,Overall,Black,"(36.413116, -80.68616)"
31016,NC,Swain County,331.6,Overall,Black,"(35.479654, -83.494771)"
31017,NC,Transylvania County,399.1,Overall,Black,"(35.202363, -82.792783)"
31018,NC,Tyrrell County,409.7,Overall,Black,"(35.810572, -76.218478)"
31019,NC,Union County,380.3,Overall,Black,"(34.986861, -80.531078)"
31020,NC,Vance County,399.8,Overall,Black,"(36.363702, -78.410435)"
31021,NC,Wake County,288.9,Overall,Black,"(35.78375, -78.652872)"
31022,NC,Warren County,385.2,Overall,Black,"(36.396823, -78.111442)"
31023,NC,Washington County,390.1,Overall,Black,"(35.826274, -76.582676)"
31024,NC,Watauga County,400.5,Overall,Black,"(36.224488, -81.690604)"
31025,NC,Wayne County,347.8,Overall,Black,"(35.354641, -78.008452)"
31026,NC,Wilkes County,403.3,Overall,Black,"(36.201538, -81.16133)"
31027,NC,Wilson County,346.2,Overall,Black,"(35.69877, -77.920576)"
31028,NC,Yadkin County,378.4,Overall,Black,"(36.155268, -80.663555)"
31029,NC,Yancey County,468.8,Overall,Black,"(35.894626, -82.30996)"
31030,NC,Alamance County,450.5,Male,Black,"(36.037343, -79.398844)"
31031,NC,Alexander County,517.5,Male,Black,"(35.916776, -81.172017)"
31032,NC,Alleghany County,534.7,Male,Black,"(36.491055, -81.126195)"
31033,NC,Anson County,663.9,Male,Black,"(34.976201, -80.104771)"
31034,NC,Ashe County,460.9,Male,Black,"(36.433254, -81.498915)"
31036,NC,Beaufort County,525.5,Male,Black,"(35.49419, -76.869659)"
31037,NC,Bertie County,485.3,Male,Black,"(36.065336, -76.983187)"
31038,NC,Bladen County,646.1,Male,Black,"(34.608631, -78.557235)"
31039,NC,Brunswick County,389.4,Male,Black,"(34.074922, -78.252254)"
31040,NC,Buncombe County,556.2,Male,Black,"(35.607613, -82.526366)"
31041,NC,Burke County,319.7,Male,Black,"(35.746243, -81.700515)"
31042,NC,Cabarrus County,442.3,Male,Black,"(35.3855, -80.548633)"
31043,NC,Caldwell County,502.5,Male,Black,"(35.947022, -81.543177)"
31044,NC,Camden County,730.3,Male,Black,"(36.402378, -76.238141)"
31045,NC,Carteret County,508.1,Male,Black,"(34.818929, -76.697202)"
31046,NC,Caswell County,490.7,Male,Black,"(36.394099, -79.333188)"
31047,NC,Catawba County,505.8,Male,Black,"(35.658972, -81.213566)"
31048,NC,Chatham County,424.0,Male,Black,"(35.697142, -79.254182)"
31050,NC,Chowan County,425.6,Male,Black,"(36.147151, -76.615859)"
31052,NC,Cleveland County,723.9,Male,Black,"(35.333441, -81.54967)"
31053,NC,Columbus County,696.3,Male,Black,"(34.263849, -78.65428)"
31054,NC,Craven County,532.8,Male,Black,"(35.131322, -77.103878)"
31055,NC,Cumberland County,515.0,Male,Black,"(35.044653, -78.8294)"
31056,NC,Currituck County,436.4,Male,Black,"(36.407817, -76.027453)"
31058,NC,Davidson County,439.7,Male,Black,"(35.789628, -80.20883)"
31059,NC,Davie County,502.9,Male,Black,"(35.925235, -80.542652)"
31060,NC,Duplin County,470.7,Male,Black,"(34.933085, -77.93468)"
31061,NC,Durham County,440.9,Male,Black,"(36.029183, -78.87741)"
31062,NC,Edgecombe County,477.1,Male,Black,"(35.909732, -77.599602)"
31063,NC,Forsyth County,474.8,Male,Black,"(36.126047, -80.249477)"
31064,NC,Franklin County,422.1,Male,Black,"(36.075748, -78.283888)"
31065,NC,Gaston County,515.2,Male,Black,"(35.292548, -81.177848)"
31066,NC,Gates County,392.0,Male,Black,"(36.444258, -76.702017)"
31068,NC,Granville County,428.7,Male,Black,"(36.300753, -78.655485)"
31069,NC,Greene County,513.0,Male,Black,"(35.483833, -77.678332)"
31070,NC,Guilford County,428.5,Male,Black,"(36.072845, -79.781989)"
31071,NC,Halifax County,485.4,Male,Black,"(36.252918, -77.65503)"
31072,NC,Harnett County,494.7,Male,Black,"(35.368234, -78.868802)"
31073,NC,Haywood County,507.9,Male,Black,"(35.55207, -82.982474)"
31074,NC,Henderson County,507.2,Male,Black,"(35.336615, -82.475972)"
31075,NC,Hertford County,410.3,Male,Black,"(36.364446, -76.997006)"
31076,NC,Hoke County,524.6,Male,Black,"(35.011746, -79.236099)"
31077,NC,Hyde County,547.0,Male,Black,"(35.532337, -76.247823)"
31078,NC,Iredell County,464.5,Male,Black,"(35.80236, -80.87071)"
31079,NC,Jackson County,486.6,Male,Black,"(35.281353, -83.138946)"
31080,NC,Johnston County,397.8,Male,Black,"(35.514295, -78.365444)"
31081,NC,Jones County,528.6,Male,Black,"(35.019843, -77.357622)"
31082,NC,Lee County,501.0,Male,Black,"(35.470107, -79.175428)"
31083,NC,Lenoir County,545.1,Male,Black,"(35.233094, -77.646009)"
31084,NC,Lincoln County,409.8,Male,Black,"(35.481319, -81.218686)"
31085,NC,McDowell County,692.6,Male,Black,"(35.678999, -82.043279)"
31086,NC,Macon County,660.4,Male,Black,"(35.145543, -83.421893)"
31087,NC,Madison County,527.5,Male,Black,"(35.852962, -82.704937)"
31088,NC,Martin County,491.0,Male,Black,"(35.836197, -77.108474)"
31089,NC,Mecklenburg County,431.2,Male,Black,"(35.245446, -80.829707)"
31091,NC,Montgomery County,567.8,Male,Black,"(35.328468, -79.900629)"
31092,NC,Moore County,518.5,Male,Black,"(35.306734, -79.476806)"
31093,NC,Nash County,467.5,Male,Black,"(35.96325, -77.981695)"
31094,NC,New Hanover County,477.0,Male,Black,"(34.263581, -77.895358)"
31095,NC,Northampton County,452.1,Male,Black,"(36.422168, -77.412187)"
31096,NC,Onslow County,449.8,Male,Black,"(34.740369, -77.442474)"
31097,NC,Orange County,463.2,Male,Black,"(36.056708, -79.12264)"
31098,NC,Pamlico County,569.0,Male,Black,"(35.135279, -76.767432)"
31099,NC,Pasquotank County,487.7,Male,Black,"(36.309091, -76.314281)"
31100,NC,Pender County,416.4,Male,Black,"(34.528344, -77.915837)"
31101,NC,Perquimans County,455.3,Male,Black,"(36.206156, -76.454965)"
31102,NC,Person County,450.8,Male,Black,"(36.389343, -78.975872)"
31103,NC,Pitt County,495.5,Male,Black,"(35.590505, -77.379123)"
31104,NC,Polk County,511.6,Male,Black,"(35.275619, -82.170022)"
31105,NC,Randolph County,437.5,Male,Black,"(35.706575, -79.802905)"
31106,NC,Richmond County,569.4,Male,Black,"(35.00261, -79.740578)"
31107,NC,Robeson County,556.3,Male,Black,"(34.638746, -79.09942)"
31108,NC,Rockingham County,474.3,Male,Black,"(36.396136, -79.769302)"
31109,NC,Rowan County,542.3,Male,Black,"(35.635879, -80.518235)"
31110,NC,Rutherford County,541.1,Male,Black,"(35.399442, -81.917292)"
31111,NC,Sampson County,479.0,Male,Black,"(34.986249, -78.371475)"
31112,NC,Scotland County,645.5,Male,Black,"(34.834413, -79.477433)"
31113,NC,Stanly County,595.9,Male,Black,"(35.312563, -80.248868)"
31114,NC,Stokes County,451.1,Male,Black,"(36.400112, -80.234031)"
31115,NC,Surry County,514.9,Male,Black,"(36.413116, -80.68616)"
31116,NC,Swain County,384.9,Male,Black,"(35.479654, -83.494771)"
31117,NC,Transylvania County,526.2,Male,Black,"(35.202363, -82.792783)"
31118,NC,Tyrrell County,489.1,Male,Black,"(35.810572, -76.218478)"
31119,NC,Union County,475.3,Male,Black,"(34.986861, -80.531078)"
31120,NC,Vance County,507.4,Male,Black,"(36.363702, -78.410435)"
31121,NC,Wake County,363.5,Male,Black,"(35.78375, -78.652872)"
31122,NC,Warren County,499.9,Male,Black,"(36.396823, -78.111442)"
31123,NC,Washington County,521.8,Male,Black,"(35.826274, -76.582676)"
31124,NC,Watauga County,365.4,Male,Black,"(36.224488, -81.690604)"
31125,NC,Wayne County,435.6,Male,Black,"(35.354641, -78.008452)"
31126,NC,Wilkes County,531.1,Male,Black,"(36.201538, -81.16133)"
31127,NC,Wilson County,455.3,Male,Black,"(35.69877, -77.920576)"
31128,NC,Yadkin County,509.1,Male,Black,"(36.155268, -80.663555)"
31129,NC,Yancey County,588.3,Male,Black,"(35.894626, -82.30996)"
31130,NC,Alamance County,267.5,Female,Black,"(36.037343, -79.398844)"
31131,NC,Alexander County,309.5,Female,Black,"(35.916776, -81.172017)"
31132,NC,Alleghany County,290.9,Female,Black,"(36.491055, -81.126195)"
31133,NC,Anson County,402.4,Female,Black,"(34.976201, -80.104771)"
31135,NC,Avery County,278.7,Female,Black,"(36.074592, -81.919816)"
31136,NC,Beaufort County,307.0,Female,Black,"(35.49419, -76.869659)"
31137,NC,Bertie County,286.4,Female,Black,"(36.065336, -76.983187)"
31138,NC,Bladen County,422.0,Female,Black,"(34.608631, -78.557235)"
31139,NC,Brunswick County,299.2,Female,Black,"(34.074922, -78.252254)"
31140,NC,Buncombe County,381.5,Female,Black,"(35.607613, -82.526366)"
31141,NC,Burke County,343.3,Female,Black,"(35.746243, -81.700515)"
31142,NC,Cabarrus County,294.7,Female,Black,"(35.3855, -80.548633)"
31143,NC,Caldwell County,276.2,Female,Black,"(35.947022, -81.543177)"
31144,NC,Camden County,349.5,Female,Black,"(36.402378, -76.238141)"
31145,NC,Carteret County,264.5,Female,Black,"(34.818929, -76.697202)"
31146,NC,Caswell County,273.7,Female,Black,"(36.394099, -79.333188)"
31147,NC,Catawba County,314.3,Female,Black,"(35.658972, -81.213566)"
31148,NC,Chatham County,242.5,Female,Black,"(35.697142, -79.254182)"
31150,NC,Chowan County,255.7,Female,Black,"(36.147151, -76.615859)"
31152,NC,Cleveland County,350.6,Female,Black,"(35.333441, -81.54967)"
31153,NC,Columbus County,563.1,Female,Black,"(34.263849, -78.65428)"
31154,NC,Craven County,296.4,Female,Black,"(35.131322, -77.103878)"
31155,NC,Cumberland County,314.8,Female,Black,"(35.044653, -78.8294)"
31156,NC,Currituck County,277.4,Female,Black,"(36.407817, -76.027453)"
31157,NC,Dare County,404.3,Female,Black,"(35.734032, -75.80804)"
31158,NC,Davidson County,275.2,Female,Black,"(35.789628, -80.20883)"
31159,NC,Davie County,281.3,Female,Black,"(35.925235, -80.542652)"
31160,NC,Duplin County,268.8,Female,Black,"(34.933085, -77.93468)"
31161,NC,Durham County,234.8,Female,Black,"(36.029183, -78.87741)"
31162,NC,Edgecombe County,279.5,Female,Black,"(35.909732, -77.599602)"
31163,NC,Forsyth County,274.5,Female,Black,"(36.126047, -80.249477)"
31164,NC,Franklin County,272.0,Female,Black,"(36.075748, -78.283888)"
31165,NC,Gaston County,288.2,Female,Black,"(35.292548, -81.177848)"
31166,NC,Gates County,300.2,Female,Black,"(36.444258, -76.702017)"
31168,NC,Granville County,289.9,Female,Black,"(36.300753, -78.655485)"
31169,NC,Greene County,274.3,Female,Black,"(35.483833, -77.678332)"
31170,NC,Guilford County,271.9,Female,Black,"(36.072845, -79.781989)"
31171,NC,Halifax County,284.0,Female,Black,"(36.252918, -77.65503)"
31172,NC,Harnett County,277.7,Female,Black,"(35.368234, -78.868802)"
31173,NC,Haywood County,368.5,Female,Black,"(35.55207, -82.982474)"
31174,NC,Henderson County,320.3,Female,Black,"(35.336615, -82.475972)"
31175,NC,Hertford County,269.5,Female,Black,"(36.364446, -76.997006)"
31176,NC,Hoke County,315.8,Female,Black,"(35.011746, -79.236099)"
31177,NC,Hyde County,303.8,Female,Black,"(35.532337, -76.247823)"
31178,NC,Iredell County,305.7,Female,Black,"(35.80236, -80.87071)"
31179,NC,Jackson County,291.7,Female,Black,"(35.281353, -83.138946)"
31180,NC,Johnston County,260.3,Female,Black,"(35.514295, -78.365444)"
31181,NC,Jones County,282.1,Female,Black,"(35.019843, -77.357622)"
31182,NC,Lee County,274.6,Female,Black,"(35.470107, -79.175428)"
31183,NC,Lenoir County,291.4,Female,Black,"(35.233094, -77.646009)"
31184,NC,Lincoln County,314.3,Female,Black,"(35.481319, -81.218686)"
31185,NC,McDowell County,379.0,Female,Black,"(35.678999, -82.043279)"
31186,NC,Macon County,299.5,Female,Black,"(35.145543, -83.421893)"
31187,NC,Madison County,379.9,Female,Black,"(35.852962, -82.704937)"
31188,NC,Martin County,283.6,Female,Black,"(35.836197, -77.108474)"
31189,NC,Mecklenburg County,272.0,Female,Black,"(35.245446, -80.829707)"
31191,NC,Montgomery County,293.1,Female,Black,"(35.328468, -79.900629)"
31192,NC,Moore County,310.0,Female,Black,"(35.306734, -79.476806)"
31193,NC,Nash County,257.8,Female,Black,"(35.96325, -77.981695)"
31194,NC,New Hanover County,316.7,Female,Black,"(34.263581, -77.895358)"
31195,NC,Northampton County,292.5,Female,Black,"(36.422168, -77.412187)"
31196,NC,Onslow County,255.4,Female,Black,"(34.740369, -77.442474)"
31197,NC,Orange County,234.8,Female,Black,"(36.056708, -79.12264)"
31198,NC,Pamlico County,330.9,Female,Black,"(35.135279, -76.767432)"
31199,NC,Pasquotank County,477.8,Female,Black,"(36.309091, -76.314281)"
31200,NC,Pender County,290.9,Female,Black,"(34.528344, -77.915837)"
31201,NC,Perquimans County,361.7,Female,Black,"(36.206156, -76.454965)"
31202,NC,Person County,263.5,Female,Black,"(36.389343, -78.975872)"
31203,NC,Pitt County,282.8,Female,Black,"(35.590505, -77.379123)"
31204,NC,Polk County,318.2,Female,Black,"(35.275619, -82.170022)"
31205,NC,Randolph County,267.1,Female,Black,"(35.706575, -79.802905)"
31206,NC,Richmond County,390.7,Female,Black,"(35.00261, -79.740578)"
31207,NC,Robeson County,301.9,Female,Black,"(34.638746, -79.09942)"
31208,NC,Rockingham County,270.3,Female,Black,"(36.396136, -79.769302)"
31209,NC,Rowan County,302.3,Female,Black,"(35.635879, -80.518235)"
31210,NC,Rutherford County,376.5,Female,Black,"(35.399442, -81.917292)"
31211,NC,Sampson County,291.5,Female,Black,"(34.986249, -78.371475)"
31212,NC,Scotland County,333.1,Female,Black,"(34.834413, -79.477433)"
31213,NC,Stanly County,312.6,Female,Black,"(35.312563, -80.248868)"
31214,NC,Stokes County,272.7,Female,Black,"(36.400112, -80.234031)"
31215,NC,Surry County,277.6,Female,Black,"(36.413116, -80.68616)"
31217,NC,Transylvania County,319.0,Female,Black,"(35.202363, -82.792783)"
31218,NC,Tyrrell County,299.8,Female,Black,"(35.810572, -76.218478)"
31219,NC,Union County,317.1,Female,Black,"(34.986861, -80.531078)"
31220,NC,Vance County,326.5,Female,Black,"(36.363702, -78.410435)"
31221,NC,Wake County,243.8,Female,Black,"(35.78375, -78.652872)"
31222,NC,Warren County,304.8,Female,Black,"(36.396823, -78.111442)"
31223,NC,Washington County,297.2,Female,Black,"(35.826274, -76.582676)"
31224,NC,Watauga County,275.7,Female,Black,"(36.224488, -81.690604)"
31225,NC,Wayne County,267.4,Female,Black,"(35.354641, -78.008452)"
31226,NC,Wilkes County,312.7,Female,Black,"(36.201538, -81.16133)"
31227,NC,Wilson County,272.7,Female,Black,"(35.69877, -77.920576)"
31228,NC,Yadkin County,291.2,Female,Black,"(36.155268, -80.663555)"
31229,NC,Yancey County,378.9,Female,Black,"(35.894626, -82.30996)"
31230,NC,Alamance County,69.6,Overall,Hispanic,"(36.037343, -79.398844)"
31231,NC,Alexander County,110.1,Overall,Hispanic,"(35.916776, -81.172017)"
31238,NC,Bladen County,137.1,Overall,Hispanic,"(34.608631, -78.557235)"
31239,NC,Brunswick County,104.2,Overall,Hispanic,"(34.074922, -78.252254)"
31240,NC,Buncombe County,139.4,Overall,Hispanic,"(35.607613, -82.526366)"
31242,NC,Cabarrus County,123.3,Overall,Hispanic,"(35.3855, -80.548633)"
31243,NC,Caldwell County,114.8,Overall,Hispanic,"(35.947022, -81.543177)"
31247,NC,Catawba County,102.2,Overall,Hispanic,"(35.658972, -81.213566)"
31248,NC,Chatham County,73.0,Overall,Hispanic,"(35.697142, -79.254182)"
31252,NC,Cleveland County,44.9,Overall,Hispanic,"(35.333441, -81.54967)"
31253,NC,Columbus County,108.9,Overall,Hispanic,"(34.263849, -78.65428)"
31254,NC,Craven County,84.4,Overall,Hispanic,"(35.131322, -77.103878)"
31255,NC,Cumberland County,151.4,Overall,Hispanic,"(35.044653, -78.8294)"
31256,NC,Currituck County,193.6,Overall,Hispanic,"(36.407817, -76.027453)"
31258,NC,Davidson County,88.0,Overall,Hispanic,"(35.789628, -80.20883)"
31259,NC,Davie County,90.7,Overall,Hispanic,"(35.925235, -80.542652)"
31260,NC,Duplin County,146.1,Overall,Hispanic,"(34.933085, -77.93468)"
31261,NC,Durham County,144.9,Overall,Hispanic,"(36.029183, -78.87741)"
31263,NC,Forsyth County,84.3,Overall,Hispanic,"(36.126047, -80.249477)"
31264,NC,Franklin County,119.7,Overall,Hispanic,"(36.075748, -78.283888)"
31265,NC,Gaston County,61.7,Overall,Hispanic,"(35.292548, -81.177848)"
31268,NC,Granville County,84.0,Overall,Hispanic,"(36.300753, -78.655485)"
31270,NC,Guilford County,83.5,Overall,Hispanic,"(36.072845, -79.781989)"
31272,NC,Harnett County,168.3,Overall,Hispanic,"(35.368234, -78.868802)"
31274,NC,Henderson County,72.4,Overall,Hispanic,"(35.336615, -82.475972)"
31276,NC,Hoke County,101.1,Overall,Hispanic,"(35.011746, -79.236099)"
31278,NC,Iredell County,121.6,Overall,Hispanic,"(35.80236, -80.87071)"
31280,NC,Johnston County,117.4,Overall,Hispanic,"(35.514295, -78.365444)"
31281,NC,Jones County,122.2,Overall,Hispanic,"(35.019843, -77.357622)"
31282,NC,Lee County,131.3,Overall,Hispanic,"(35.470107, -79.175428)"
31283,NC,Lenoir County,118.7,Overall,Hispanic,"(35.233094, -77.646009)"
31284,NC,Lincoln County,128.7,Overall,Hispanic,"(35.481319, -81.218686)"
31289,NC,Mecklenburg County,131.1,Overall,Hispanic,"(35.245446, -80.829707)"
31292,NC,Moore County,110.3,Overall,Hispanic,"(35.306734, -79.476806)"
